"player_name","TotFBUp","SwStrFBsUp","MLBavg","FBUpSwStrPct"
"Gregory Polanco",75,23,17.01,30.7
"Jeff Mathis",122,37,17.01,30.3
"Keon Broxton",122,35,17.01,28.7
"Mike Zunino",158,45,17.01,28.5
"Franmil Reyes",209,58,17.01,27.8
"Marco Hernandez",102,28,17.01,27.5
"Austin Riley",137,37,17.01,27
"Ryan Cordell",90,24,17.01,26.7
"Jorge Alfaro",223,59,17.01,26.5
"Adalberto Mondesi",175,46,17.01,26.3
"Khris Davis",198,52,17.01,26.3
"Austin Hedges",124,32,17.01,25.8
"Avisail Garcia",210,54,17.01,25.7
"Daniel Palka",78,20,17.01,25.6
"John Hicks",145,37,17.01,25.5
"Humberto Arteaga",75,19,17.01,25.3
"Aristides Aquino",88,22,17.01,25
"Nate Lowe",117,29,17.01,24.8
"David Bote",199,48,17.01,24.1
"Travis d'Arnaud",170,41,17.01,24.1
"Chad Pinder",117,28,17.01,23.9
"Cory Spangenberg",76,18,17.01,23.7
"Tyler O'Neill",99,23,17.01,23.2
"Tyler Flowers",144,33,17.01,22.9
"Carlos Gonzalez",106,24,17.01,22.6
"Adeiny Hechavarria",107,24,17.01,22.4
"Addison Russell",99,22,17.01,22.2
"Javier Baez",281,62,17.01,22.1
"Brandon Lowe",127,28,17.01,22
"Hernan Perez",100,22,17.01,22
"Brandon Dixon",213,46,17.01,21.6
"Gary Sanchez",236,51,17.01,21.6
"Andrew Knapp",121,26,17.01,21.5
"Keston Hiura",186,40,17.01,21.5
"Travis Demeritte",98,21,17.01,21.4
"C.J. Cron",194,41,17.01,21.1
"Stephen Piscotty",158,33,17.01,20.9
"Colin Moran",212,44,17.01,20.8
"Mac Williamson",82,17,17.01,20.7
"Ronald Guzman",175,36,17.01,20.6
"Hunter Renfroe",221,45,17.01,20.4
"Scott Kingery",269,55,17.01,20.4
"Michael Chavis",261,53,17.01,20.3
"Jacob Stallings",119,24,17.01,20.2
"Robinson Chirinos",292,59,17.01,20.2
"Rowdy Tellez",193,39,17.01,20.2
"Teoscar Hernandez",223,45,17.01,20.2
"Jonathan Schoop",189,38,17.01,20.1
"Brad Miller",100,20,17.01,20
"Ian Happ",136,27,17.01,19.9
